"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Nov 27 08:59:59 GMT 2021","Sat Nov 27 08:59:59 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"passed","Sat Nov 27 08:55:57 GMT 2021","Sat Nov 27 08:55:57 GMT 2021","1","Ethers.js","","","","","testSigner",""
"passed","Sat Nov 27 08:56:03 GMT 2021","Sat Nov 27 08:56:03 GMT 2021","5","ethjs","","","","","Connection test (js)",""
"failed","Sat Nov 27 09:00:11 GMT 2021","Sat Nov 27 09:00:22 GMT 2021","10654","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"passed","Sat Nov 27 08:55:55 GMT 2021","Sat Nov 27 08:55:56 GMT 2021","1565","Ethers.js","","","","","shouldCountTransactions",""
"broken","Sat Nov 27 08:55:57 GMT 2021","Sat Nov 27 08:55:59 GMT 2021","1975","Ethers.js","","","","","testQueryingBlockchain",""
"passed","Sat Nov 27 09:00:44 GMT 2021","Sat Nov 27 09:01:17 GMT 2021","33548","tests.truffle","test_truffle","","","","test_truffle_migration",""
"skipped","Sat Nov 27 08:59:59 GMT 2021","Sat Nov 27 08:59:59 GMT 2021","0","tests.brownie","test_brownie","","","","test_one",""
"passed","Sat Nov 27 08:56:01 GMT 2021","Sat Nov 27 08:56:01 GMT 2021","7","Ethers.js","","","","","testContracts",""
"broken","Sat Nov 27 08:55:54 GMT 2021","Sat Nov 27 08:55:55 GMT 2021","765","Ethers.js","","","","","shouldCreateAcccountWithEthersJs",""
"failed","Sat Nov 27 09:00:22 GMT 2021","Sat Nov 27 09:00:32 GMT 2021","10425","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"passed","Sat Nov 27 08:56:02 GMT 2021","Sat Nov 27 08:56:02 GMT 2021","8","Ethers.js","","","","","testStateChangingMethods",""
"passed","Sat Nov 27 09:03:04 GMT 2021","Sat Nov 27 09:03:44 GMT 2021","39758","tests.truffle","test_truffle","","","","test_issue_364_self_destruct_contract",""
"broken","Sat Nov 27 08:56:08 GMT 2021","Sat Nov 27 08:56:09 GMT 2021","1057","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"skipped","Sat Nov 27 08:59:59 GMT 2021","Sat Nov 27 08:59:59 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"broken","Sat Nov 27 08:55:59 GMT 2021","Sat Nov 27 08:56:01 GMT 2021","1473","Ethers.js","","","","","testWritingToTheBlockchain",""
"failed","Sat Nov 27 08:59:59 GMT 2021","Sat Nov 27 09:00:11 GMT 2021","12216","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"failed","Sat Nov 27 09:00:32 GMT 2021","Sat Nov 27 09:00:44 GMT 2021","11249","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"passed","Sat Nov 27 08:55:56 GMT 2021","Sat Nov 27 08:55:57 GMT 2021","1033","Ethers.js","","","","","shouldConnectViaEthersJs",""
"broken","Sat Nov 27 08:56:01 GMT 2021","Sat Nov 27 08:56:02 GMT 2021","984","Ethers.js","","","","","testReadOnlyMethods",""
"failed","Sat Nov 27 09:01:17 GMT 2021","Sat Nov 27 09:02:03 GMT 2021","45524","tests.truffle","test_truffle","","","","test_truffle_contract",""
"broken","Sat Nov 27 08:56:03 GMT 2021","Sat Nov 27 08:56:03 GMT 2021","6","ethjs","","","","","test01",""
"broken","Sat Nov 27 08:56:02 GMT 2021","Sat Nov 27 08:56:03 GMT 2021","485","Ethers.js","","","","","testSigningMessages",""
"broken","Sat Nov 27 08:56:02 GMT 2021","Sat Nov 27 08:56:02 GMT 2021","540","Ethers.js","","","","","testQueryHistoricEvents",""
"failed","Sat Nov 27 09:02:03 GMT 2021","Sat Nov 27 09:03:04 GMT 2021","61314","tests.truffle","test_truffle","","","","test_truffle_test",""
