"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 14:02:21 GMT 2021","Mon Dec 20 14:02:35 GMT 2021","13317","Contract: UUPSUpgradeable","","","","","reject proxy address as implementation",""
"passed","Mon Dec 20 14:09:46 GMT 2021","Mon Dec 20 14:10:00 GMT 2021","14097","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when the given token ID does not exist","","","reverts",""
"passed","Mon Dec 20 14:26:35 GMT 2021","Mon Dec 20 14:26:53 GMT 2021","17711","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the owner without an approved user","","","adjusts owners tokens by index",""
"skipped","Mon Dec 20 13:04:48 GMT 2021","Mon Dec 20 13:04:48 GMT 2021","0","Contract: ERC20VotesComp","getPastTotalSupply","","","","reverts if block number >= current block",""
"passed","Mon Dec 20 14:03:00 GMT 2021","Mon Dec 20 14:03:14 GMT 2021","14168","Contract: ERC20","erc20 behaviour","approve > when the spender is not the zero address > when the sender does not have enough balance","","","emits an approval event",""
"skipped","Mon Dec 20 13:50:08 GMT 2021","Mon Dec 20 13:50:08 GMT 2021","0","Contract: TransparentUpgradeableProxy","initialization without parameters","payable > when sending some balance","","","sets the implementation address",""
"passed","Mon Dec 20 12:53:48 GMT 2021","Mon Dec 20 12:53:50 GMT 2021","1629","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"broken","Mon Dec 20 12:51:40 GMT 2021","Mon Dec 20 12:51:41 GMT 2021","857","Ethers.js","","","","","testWritingToTheBlockchain",""
"skipped","Mon Dec 20 12:55:13 GMT 2021","Mon Dec 20 12:55:13 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"passed","Mon Dec 20 13:52:17 GMT 2021","Mon Dec 20 13:52:30 GMT 2021","13813","Contract: ERC20","deposit","","","","valid",""
"passed","Mon Dec 20 13:18:47 GMT 2021","Mon Dec 20 13:18:51 GMT 2021","3885","Contract: ERC721PresetMinterPauserAutoId","Contract interface","ERC721 > setApprovalForAll(address,bool)","","","has to be implemented",""
"passed","Mon Dec 20 12:54:00 GMT 2021","Mon Dec 20 12:54:02 GMT 2021","1703","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"passed","Mon Dec 20 13:57:10 GMT 2021","Mon Dec 20 13:57:17 GMT 2021","6170","Contract: TransparentUpgradeableProxy","changeAdmin","when the new proposed admin is not the zero address > when the sender is the admin","","","assigns new proxy admin",""
"passed","Mon Dec 20 12:51:13 GMT 2021","Mon Dec 20 12:51:17 GMT 2021","4551","Contract: Address","isContract","","","","returns false for account address",""
"passed","Mon Dec 20 13:48:19 GMT 2021","Mon Dec 20 13:48:30 GMT 2021","11000","Contract: ERC721","Contract interface","ERC721 > transferFrom(address,address,uint256)","","","has to be implemented",""
"passed","Mon Dec 20 14:32:49 GMT 2021","Mon Dec 20 14:33:05 GMT 2021","16485","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the approved individual","","","adjusts owners tokens by index",""
