"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 22 20:53:11 GMT 2021","Wed Dec 22 20:53:15 GMT 2021","4142","Contract: ERC721","Contract interface","ERC721 > approve(address,uint256)","","","has to be implemented",""
"passed","Wed Dec 22 21:19:50 GMT 2021","Wed Dec 22 21:20:05 GMT 2021","15145","Contract: ERC20","erc20 behaviour","approve > when the spender is the zero address","","","reverts",""
"passed","Wed Dec 22 20:57:40 GMT 2021","Wed Dec 22 20:58:00 GMT 2021","19594","Contract: SafeERC20","with token that returns true on all calls","approvals > with non-zero allowance","","","reverts when approving a non-zero allowance",""
"passed","Wed Dec 22 20:52:01 GMT 2021","Wed Dec 22 20:53:03 GMT 2021","62324","Contract: ERC721","Contract interface","ERC721 > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Wed Dec 22 21:24:15 GMT 2021","Wed Dec 22 21:24:35 GMT 2021","20697","Contract: ERC1155","internal functions","_burnBatch > with minted-then-burnt tokens","","","accounts for both minting and burning",""
"passed","Wed Dec 22 21:56:34 GMT 2021","Wed Dec 22 21:56:53 GMT 2021","19089","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the owner without an approved user","","","emits an Approval event",""
"passed","Wed Dec 22 20:21:18 GMT 2021","Wed Dec 22 20:21:18 GMT 2021","1","Ethers.js","","","","","testSigner",""
"passed","Wed Dec 22 21:17:58 GMT 2021","Wed Dec 22 21:18:03 GMT 2021","5031","Contract: MerkleProof","verify","","","","returns true for a valid Merkle proof",""
"passed","Wed Dec 22 22:28:20 GMT 2021","Wed Dec 22 22:28:36 GMT 2021","15996","Contract: ERC721Enumerable","with minted tokens","tokenOfOwnerByIndex > after transferring all tokens to another user","","","returns empty collection for original owner",""
"passed","Wed Dec 22 21:24:40 GMT 2021","Wed Dec 22 21:24:46 GMT 2021","6489","Contract: ERC1155","ERC1155MetadataURI","","","","sets the initial URI for all token types",""
"passed","Wed Dec 22 20:54:11 GMT 2021","Wed Dec 22 20:54:55 GMT 2021","44063","Contract: ERC20PresetMinterPauser","burning","","","","holders can burn their tokens",""
"skipped","Wed Dec 22 20:25:35 GMT 2021","Wed Dec 22 20:25:35 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"passed","Wed Dec 22 21:19:19 GMT 2021","Wed Dec 22 21:19:27 GMT 2021","7833","Contract: RefundEscrow","once deployed","","","","only the owner can enter refund state",""
"passed","Wed Dec 22 20:55:19 GMT 2021","Wed Dec 22 20:55:25 GMT 2021","6099","Contract: ERC20","approve","when the spender is the zero address","","","reverts",""
"passed","Wed Dec 22 21:22:01 GMT 2021","Wed Dec 22 21:22:07 GMT 2021","6084","Contract: SignedSafeMath","mul","","","","reverts when minimum integer is multiplied by -1",""
"passed","Wed Dec 22 21:24:13 GMT 2021","Wed Dec 22 21:24:31 GMT 2021","18309","Contract: ERC165Checker","ERC165 and many interfaces supported","","","","supports not all of the interfaces queried via supportsAllInterfaces",""
"passed","Wed Dec 22 20:21:34 GMT 2021","Wed Dec 22 20:21:39 GMT 2021","4691","Contract: AccessControl","Contract interface","AccessControl > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Wed Dec 22 20:40:31 GMT 2021","Wed Dec 22 20:41:01 GMT 2021","30402","Contract: ERC20","transfer","when the recipient is not the zero address > when the sender transfers all balance","","","emits a transfer event",""
"broken","Wed Dec 22 20:31:43 GMT 2021","Wed Dec 22 20:33:59 GMT 2021","136131","Contract: Clones","cloneDeterministic","initialization without parameters > non payable > when not sending balance","","","initializes the proxy",""
"passed","Wed Dec 22 21:00:31 GMT 2021","Wed Dec 22 21:01:05 GMT 2021","33597","Contract: SafeERC20","with token that returns true on all calls","approvals > with non-zero allowance","","","reverts when decreasing the allowance to a negative value",""
"passed","Wed Dec 22 21:02:28 GMT 2021","Wed Dec 22 21:02:40 GMT 2021","11665","Contract: ERC721PresetMinterPauserAutoId","","","","","minter role admin is the default admin",""
"passed","Wed Dec 22 21:31:46 GMT 2021","Wed Dec 22 21:32:09 GMT 2021","23104","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner without an approved user","","","emits an Approval event",""
"passed","Wed Dec 22 21:16:06 GMT 2021","Wed Dec 22 21:16:24 GMT 2021","17939","Contract: ERC20","erc20 behaviour","transfer from > when the token owner is not the zero address > when the recipient is not the zero address > when the spender does not have enough approved balance > when the token owner has enough balance","","","reverts",""
"passed","Wed Dec 22 22:21:18 GMT 2021","Wed Dec 22 22:21:25 GMT 2021","6733","Contract: ERC721","_mint(address, uint256)","with minted token","","","emits a Transfer event",""
"passed","Wed Dec 22 20:31:27 GMT 2021","Wed Dec 22 20:31:38 GMT 2021","10601","Contract: ReentrancyGuard","","","","","does not allow remote callback",""
"passed","Wed Dec 22 21:00:19 GMT 2021","Wed Dec 22 21:00:36 GMT 2021","16444","Contract: ERC20","recover","","","","something to recover",""
"broken","Wed Dec 22 20:34:16 GMT 2021","Wed Dec 22 20:38:45 GMT 2021","268403","Contract: ERC1155PresetMinterPauser","","","","","deployer has the minter role",""
"passed","Wed Dec 22 21:31:03 GMT 2021","Wed Dec 22 21:31:14 GMT 2021","11067","Contract: EnumerableSet","EnumerableUintSet","remove","","","removes added values",""
"failed","Wed Dec 22 21:12:18 GMT 2021","Wed Dec 22 21:14:21 GMT 2021","122405","Contract: Address","sendValue","when sender contract has funds","","","sends non-zero amounts",""
"passed","Wed Dec 22 21:43:43 GMT 2021","Wed Dec 22 21:44:07 GMT 2021","24071","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner without an approved user","","","transfers the ownership of the given token ID to the given address",""
"passed","Wed Dec 22 21:19:56 GMT 2021","Wed Dec 22 21:20:05 GMT 2021","9450","Contract: Address","functionDelegateCall","","","","reverts when address is not a contract",""
"passed","Wed Dec 22 21:12:03 GMT 2021","Wed Dec 22 21:12:09 GMT 2021","6273","Contract: ERC20","_transfer","when the recipient is not the zero address > when the sender transfers zero tokens","","","emits a transfer event",""
"passed","Wed Dec 22 22:09:47 GMT 2021","Wed Dec 22 22:10:06 GMT 2021","19323","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when the sender is not authorized for the token id","","","reverts",""
"passed","Wed Dec 22 20:40:59 GMT 2021","Wed Dec 22 20:41:12 GMT 2021","13067","Contract: ERC20Burnable","burnFrom","on success > for a zero amount","","","decrements allowance",""
"skipped","Wed Dec 22 20:42:46 GMT 2021","Wed Dec 22 20:42:46 GMT 2021","0","Contract: ERC20Votes","Compound test suite","getPastVotes","","","returns zero if < first checkpoint block",""
"passed","Wed Dec 22 21:49:47 GMT 2021","Wed Dec 22 21:50:04 GMT 2021","17045","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the approved individual","","","clears the approval for the token ID",""
"passed","Wed Dec 22 21:22:24 GMT 2021","Wed Dec 22 21:22:30 GMT 2021","6277","Contract: ERC1155","internal functions","_burn","","","reverts when burning the zero account's tokens",""
"passed","Wed Dec 22 22:15:06 GMT 2021","Wed Dec 22 22:15:22 GMT 2021","15104","Contract: ERC721","with minted tokens","approve > when clearing approval > when there was a prior approval","","","clears approval for the token",""
"passed","Wed Dec 22 20:40:43 GMT 2021","Wed Dec 22 20:41:14 GMT 2021","31377","Contract: ERC1155Supply","after burn","batch","","","totalSupply",""
"passed","Wed Dec 22 21:16:16 GMT 2021","Wed Dec 22 21:16:23 GMT 2021","6546","Contract: StorageSlot","boolean storage slot","","","","set",""
"passed","Wed Dec 22 20:30:30 GMT 2021","Wed Dec 22 20:31:27 GMT 2021","57619","Contract: ReentrancyGuard","","","","","nonReentrant function can be called",""
"passed","Wed Dec 22 22:17:10 GMT 2021","Wed Dec 22 22:17:30 GMT 2021","19809","Contract: ERC721","with minted tokens","approve > when the address that receives the approval is the owner","","","reverts",""
"passed","Wed Dec 22 21:21:24 GMT 2021","Wed Dec 22 21:21:33 GMT 2021","9927","Contract: SafeCast","toUint16","","","","reverts when downcasting 2^16 + 1 (65537)",""
"broken","Wed Dec 22 20:26:28 GMT 2021","Wed Dec 22 20:26:28 GMT 2021","0","Contract: Clones","clone","","","","""before all"" hook: deploy implementation in ""clone""",""
"passed","Wed Dec 22 21:14:46 GMT 2021","Wed Dec 22 21:15:19 GMT 2021","32938","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the operator","","","adjusts owners tokens by index",""
"passed","Wed Dec 22 21:23:29 GMT 2021","Wed Dec 22 21:24:00 GMT 2021","31371","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the approved individual","","","transfers the ownership of the given token ID to the given address",""
