"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 23 13:42:02 GMT 2021","Thu Dec 23 13:44:18 GMT 2021","135530","Contract: ERC721Enumerable","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"broken","Thu Dec 23 13:25:44 GMT 2021","Thu Dec 23 13:28:25 GMT 2021","161185","Contract: UpgradeableBeacon","once deployed","","","","can be upgraded by the owner",""
"passed","Thu Dec 23 13:20:37 GMT 2021","Thu Dec 23 13:20:45 GMT 2021","7947","Contract: Ownable","transfer ownership","","","","changes owner after transfer",""
"passed","Thu Dec 23 14:42:04 GMT 2021","Thu Dec 23 14:42:08 GMT 2021","4187","Contract: ERC721Enumerable","Contract interface","ERC721Enumerable > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"broken","Thu Dec 23 13:28:25 GMT 2021","Thu Dec 23 13:30:36 GMT 2021","131079","Contract: ERC1155","like an ERC1155","balanceOf > when accounts own some tokens","","","returns the amount of tokens owned by the given addresses",""
"passed","Thu Dec 23 14:42:18 GMT 2021","Thu Dec 23 14:42:26 GMT 2021","7768","Contract: ERC721Enumerable","with minted tokens","totalSupply","","","returns total token supply",""
"passed","Thu Dec 23 14:23:49 GMT 2021","Thu Dec 23 14:24:06 GMT 2021","16876","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the owner","","","adjusts owners balances",""
"passed","Thu Dec 23 13:48:08 GMT 2021","Thu Dec 23 13:48:15 GMT 2021","7617","Contract: SafeERC20","with token that returns no boolean values","","","","doesn't revert on transferFrom",""
"passed","Thu Dec 23 14:27:45 GMT 2021","Thu Dec 23 14:28:04 GMT 2021","18968","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the owner without an approved user","","","transfers the ownership of the given token ID to the given address",""
"passed","Thu Dec 23 13:47:25 GMT 2021","Thu Dec 23 13:48:20 GMT 2021","55003","Contract: ERC721Enumerable","with minted tokens","transfers > via transferFrom > when called by the owner","","","clears the approval for the token ID",""
"passed","Thu Dec 23 14:14:54 GMT 2021","Thu Dec 23 14:15:07 GMT 2021","12784","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the owner","","","emits an Approval event",""
"broken","Thu Dec 23 13:28:36 GMT 2021","Thu Dec 23 13:30:47 GMT 2021","131028","Contract: TransparentUpgradeableProxy","without initialization","when not sending balance","","","initializes the proxy",""
"skipped","Thu Dec 23 13:35:25 GMT 2021","Thu Dec 23 13:35:25 GMT 2021","0","Contract: ERC20Votes","transfers","","","","receiver delegation",""
"passed","Thu Dec 23 13:33:23 GMT 2021","Thu Dec 23 13:34:00 GMT 2021","37008","Contract: ERC20FlashMint","maxFlashLoan","","","","token match",""
