"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 20 07:00:35 GMT 2021","Mon Dec 20 07:00:36 GMT 2021","485","Ethers.js","","","","","testQueryHistoricEvents",""
"passed","Mon Dec 20 07:00:37 GMT 2021","Mon Dec 20 07:00:37 GMT 2021","9","ethjs","","","","","Connection test (js)",""
"broken","Mon Dec 20 07:00:44 GMT 2021","Mon Dec 20 07:00:45 GMT 2021","1078","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"passed","Mon Dec 20 07:00:25 GMT 2021","Mon Dec 20 07:00:27 GMT 2021","2447","Ethers.js","","","","","shouldCountTransactions",""
"passed","Mon Dec 20 07:00:51 GMT 2021","Mon Dec 20 07:00:53 GMT 2021","2033","tests.brownie","test_brownie","","","","test_brownie_connect",""
"passed","Mon Dec 20 07:05:05 GMT 2021","Mon Dec 20 07:05:17 GMT 2021","11830","tests.brownie.token.tests","test_transferFrom","","","","test_caller_balance_not_affected",""
"passed","Mon Dec 20 07:04:51 GMT 2021","Mon Dec 20 07:05:05 GMT 2021","14349","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_balance_increases",""
"passed","Mon Dec 20 07:01:46 GMT 2021","Mon Dec 20 07:01:46 GMT 2021","382","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
"passed","Mon Dec 20 07:01:47 GMT 2021","Mon Dec 20 07:01:48 GMT 2021","388","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"broken","Mon Dec 20 07:06:07 GMT 2021","Mon Dec 20 07:06:19 GMT 2021","11760","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"failed","Mon Dec 20 07:07:01 GMT 2021","Mon Dec 20 07:07:12 GMT 2021","11260","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"passed","Mon Dec 20 07:03:07 GMT 2021","Mon Dec 20 07:03:14 GMT 2021","7278","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"passed","Mon Dec 20 07:01:48 GMT 2021","Mon Dec 20 07:01:57 GMT 2021","9696","tests.brownie.token.tests","test_approve","","","","test_approve",""
"passed","Mon Dec 20 07:03:30 GMT 2021","Mon Dec 20 07:03:36 GMT 2021","6083","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"failed","Mon Dec 20 07:11:39 GMT 2021","Mon Dec 20 07:14:51 GMT 2021","191969","tests.truffle","test_truffle","","","","test_truffle_test",""
"failed","Mon Dec 20 07:08:37 GMT 2021","Mon Dec 20 07:08:56 GMT 2021","19031","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"broken","Mon Dec 20 07:00:36 GMT 2021","Mon Dec 20 07:00:36 GMT 2021","482","Ethers.js","","","","","testSigningMessages",""
"broken","Mon Dec 20 07:00:37 GMT 2021","Mon Dec 20 07:00:37 GMT 2021","6","ethjs","","","","","test01",""
"passed","Mon Dec 20 07:01:57 GMT 2021","Mon Dec 20 07:02:10 GMT 2021","13054","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
"passed","Mon Dec 20 07:02:10 GMT 2021","Mon Dec 20 07:02:21 GMT 2021","10692","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"passed","Mon Dec 20 07:01:46 GMT 2021","Mon Dec 20 07:01:47 GMT 2021","375","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[2]",""
"passed","Mon Dec 20 07:06:42 GMT 2021","Mon Dec 20 07:06:49 GMT 2021","6421","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens_without_approval",""
"broken","Mon Dec 20 07:00:29 GMT 2021","Mon Dec 20 07:00:32 GMT 2021","2916","Ethers.js","","","","","testQueryingBlockchain",""
"failed","Mon Dec 20 07:10:35 GMT 2021","Mon Dec 20 07:11:39 GMT 2021","64376","tests.truffle","test_truffle","","","","test_truffle_contract",""
"passed","Mon Dec 20 07:03:01 GMT 2021","Mon Dec 20 07:03:07 GMT 2021","5661","tests.brownie.token.tests","test_transfer","","","","test_sender_balance_decreases",""
"passed","Mon Dec 20 07:02:27 GMT 2021","Mon Dec 20 07:02:33 GMT 2021","6497","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"failed","Mon Dec 20 07:09:16 GMT 2021","Mon Dec 20 07:10:35 GMT 2021","79090","tests.truffle","test_truffle","","","","test_truffle_migration",""
"passed","Mon Dec 20 07:03:14 GMT 2021","Mon Dec 20 07:03:21 GMT 2021","7345","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"passed","Mon Dec 20 07:04:32 GMT 2021","Mon Dec 20 07:04:51 GMT 2021","18835","tests.brownie.token.tests","test_transferFrom","","","","test_sender_balance_decreases",""
"passed","Mon Dec 20 07:00:36 GMT 2021","Mon Dec 20 07:00:37 GMT 2021","1141","Ethers.js","","","","","shouldCheckStaticJsonRpcProvider",""
"broken","Mon Dec 20 07:00:34 GMT 2021","Mon Dec 20 07:00:35 GMT 2021","1346","Ethers.js","","","","","testReadOnlyMethods",""
"passed","Mon Dec 20 07:01:46 GMT 2021","Mon Dec 20 07:01:46 GMT 2021","390","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[0]",""
"passed","Mon Dec 20 07:14:51 GMT 2021","Mon Dec 20 07:15:48 GMT 2021","56545","tests.truffle","test_truffle","","","","test_issue_364_self_destruct_contract",""
"skipped","Mon Dec 20 07:07:58 GMT 2021","Mon Dec 20 07:07:58 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"failed","Mon Dec 20 07:07:58 GMT 2021","Mon Dec 20 07:08:18 GMT 2021","20441","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"passed","Mon Dec 20 07:06:19 GMT 2021","Mon Dec 20 07:06:30 GMT 2021","10547","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"failed","Mon Dec 20 07:08:18 GMT 2021","Mon Dec 20 07:08:37 GMT 2021","19023","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"passed","Mon Dec 20 07:03:59 GMT 2021","Mon Dec 20 07:04:13 GMT 2021","14450","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"passed","Mon Dec 20 07:03:36 GMT 2021","Mon Dec 20 07:03:51 GMT 2021","14423","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Mon Dec 20 07:02:33 GMT 2021","Mon Dec 20 07:02:39 GMT 2021","5920","tests.brownie.token.tests","test_approve","","","","test_returns_true",""
