"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 21 18:40:56 GMT 2021","Tue Dec 21 18:40:56 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_sender_balance_decreases",""
"broken","Tue Dec 21 18:40:55 GMT 2021","Tue Dec 21 18:40:55 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"broken","Tue Dec 21 18:40:51 GMT 2021","Tue Dec 21 18:40:51 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approve_self",""
"broken","Tue Dec 21 18:40:50 GMT 2021","Tue Dec 21 18:40:50 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"failed","Tue Dec 21 18:41:27 GMT 2021","Tue Dec 21 18:41:49 GMT 2021","22532","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"passed","Tue Dec 21 18:38:22 GMT 2021","Tue Dec 21 18:38:22 GMT 2021","5","ethjs","","","","","Connection test (js)",""
"broken","Tue Dec 21 18:38:22 GMT 2021","Tue Dec 21 18:38:22 GMT 2021","7","ethjs","","","","","test01",""
"broken","Tue Dec 21 18:41:02 GMT 2021","Tue Dec 21 18:41:02 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_balance_increases",""
"broken","Tue Dec 21 18:40:51 GMT 2021","Tue Dec 21 18:40:51 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approval_event_fires",""
"broken","Tue Dec 21 18:40:37 GMT 2021","Tue Dec 21 18:40:37 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[0]",""
"broken","Tue Dec 21 18:38:28 GMT 2021","Tue Dec 21 18:38:29 GMT 2021","676","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"skipped","Tue Dec 21 18:41:03 GMT 2021","Tue Dec 21 18:41:03 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"passed","Tue Dec 21 18:38:22 GMT 2021","Tue Dec 21 18:38:22 GMT 2021","655","Ethers.js","","","","","shouldCheckStaticJsonRpcProvider",""
"broken","Tue Dec 21 18:40:51 GMT 2021","Tue Dec 21 18:40:51 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"broken","Tue Dec 21 18:40:50 GMT 2021","Tue Dec 21 18:40:50 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
"broken","Tue Dec 21 18:41:03 GMT 2021","Tue Dec 21 18:41:03 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"broken","Tue Dec 21 18:40:56 GMT 2021","Tue Dec 21 18:40:56 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"broken","Tue Dec 21 18:40:50 GMT 2021","Tue Dec 21 18:40:50 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[2]",""
"passed","Tue Dec 21 18:38:19 GMT 2021","Tue Dec 21 18:38:19 GMT 2021","2","Ethers.js","","","","","testSigner",""
"broken","Tue Dec 21 18:41:03 GMT 2021","Tue Dec 21 18:41:03 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_event_fires",""
"failed","Tue Dec 21 18:43:00 GMT 2021","Tue Dec 21 18:44:07 GMT 2021","67180","tests.truffle","test_truffle","","","","test_truffle_contract",""
"passed","Tue Dec 21 18:38:21 GMT 2021","Tue Dec 21 18:38:21 GMT 2021","5","Ethers.js","","","","","testStateChangingMethods",""
"broken","Tue Dec 21 18:40:56 GMT 2021","Tue Dec 21 18:40:56 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Tue Dec 21 18:40:51 GMT 2021","Tue Dec 21 18:40:51 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_sender_balance_decreases",""
"broken","Tue Dec 21 18:41:02 GMT 2021","Tue Dec 21 18:41:02 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens",""
"passed","Tue Dec 21 18:38:21 GMT 2021","Tue Dec 21 18:38:21 GMT 2021","7","Ethers.js","","","","","testContracts",""
"broken","Tue Dec 21 18:41:03 GMT 2021","Tue Dec 21 18:41:03 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_balance",""
"passed","Tue Dec 21 18:40:17 GMT 2021","Tue Dec 21 18:40:19 GMT 2021","1758","tests.brownie","test_brownie","","","","test_brownie_connect",""
"broken","Tue Dec 21 18:41:02 GMT 2021","Tue Dec 21 18:41:02 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_total_supply_not_affected",""
"failed","Tue Dec 21 18:44:07 GMT 2021","Tue Dec 21 18:45:13 GMT 2021","66015","tests.truffle","test_truffle","","","","test_truffle_test",""
"failed","Tue Dec 21 18:41:03 GMT 2021","Tue Dec 21 18:41:27 GMT 2021","23447","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"broken","Tue Dec 21 18:41:03 GMT 2021","Tue Dec 21 18:41:03 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"broken","Tue Dec 21 18:40:51 GMT 2021","Tue Dec 21 18:40:51 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_returns_true",""
"broken","Tue Dec 21 18:40:50 GMT 2021","Tue Dec 21 18:40:50 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approve",""
"broken","Tue Dec 21 18:40:50 GMT 2021","Tue Dec 21 18:40:50 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"passed","Tue Dec 21 18:42:35 GMT 2021","Tue Dec 21 18:43:00 GMT 2021","25525","tests.truffle","test_truffle","","","","test_truffle_migration",""
"broken","Tue Dec 21 18:40:56 GMT 2021","Tue Dec 21 18:40:56 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_insufficient_balance",""
"broken","Tue Dec 21 18:40:50 GMT 2021","Tue Dec 21 18:40:50 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
"broken","Tue Dec 21 18:38:21 GMT 2021","Tue Dec 21 18:38:21 GMT 2021","576","Ethers.js","","","","","testReadOnlyMethods",""
"broken","Tue Dec 21 18:38:21 GMT 2021","Tue Dec 21 18:38:22 GMT 2021","278","Ethers.js","","","","","testSigningMessages",""
"failed","Tue Dec 21 18:41:49 GMT 2021","Tue Dec 21 18:42:11 GMT 2021","22287","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"broken","Tue Dec 21 18:38:21 GMT 2021","Tue Dec 21 18:38:21 GMT 2021","288","Ethers.js","","","","","testQueryHistoricEvents",""
"passed","Tue Dec 21 18:38:17 GMT 2021","Tue Dec 21 18:38:18 GMT 2021","972","Ethers.js","","","","","shouldCountTransactions",""
"broken","Tue Dec 21 18:41:02 GMT 2021","Tue Dec 21 18:41:02 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_approval_not_affected",""
"broken","Tue Dec 21 18:41:03 GMT 2021","Tue Dec 21 18:41:03 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self_no_approval",""
"skipped","Tue Dec 21 18:41:03 GMT 2021","Tue Dec 21 18:41:03 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"failed","Tue Dec 21 18:42:11 GMT 2021","Tue Dec 21 18:42:34 GMT 2021","23048","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"broken","Tue Dec 21 18:41:02 GMT 2021","Tue Dec 21 18:41:02 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens_without_approval",""
"broken","Tue Dec 21 18:41:03 GMT 2021","Tue Dec 21 18:41:03 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"broken","Tue Dec 21 18:40:33 GMT 2021","Tue Dec 21 18:40:37 GMT 2021","3950","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"broken","Tue Dec 21 18:40:56 GMT 2021","Tue Dec 21 18:40:56 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_to_self",""
"broken","Tue Dec 21 18:38:16 GMT 2021","Tue Dec 21 18:38:17 GMT 2021","566","Ethers.js","","","","","shouldCreateAcccountWithEthersJs",""
"broken","Tue Dec 21 18:40:56 GMT 2021","Tue Dec 21 18:40:56 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"broken","Tue Dec 21 18:41:02 GMT 2021","Tue Dec 21 18:41:02 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"broken","Tue Dec 21 18:41:02 GMT 2021","Tue Dec 21 18:41:02 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_balance_not_affected",""
"broken","Tue Dec 21 18:41:02 GMT 2021","Tue Dec 21 18:41:02 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"broken","Tue Dec 21 18:40:56 GMT 2021","Tue Dec 21 18:40:56 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_returns_true",""
"broken","Tue Dec 21 18:41:02 GMT 2021","Tue Dec 21 18:41:02 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_approval_affected",""
"broken","Tue Dec 21 18:40:50 GMT 2021","Tue Dec 21 18:40:50 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"broken","Tue Dec 21 18:38:20 GMT 2021","Tue Dec 21 18:38:21 GMT 2021","869","Ethers.js","","","","","testWritingToTheBlockchain",""
"broken","Tue Dec 21 18:41:03 GMT 2021","Tue Dec 21 18:41:03 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_revoked_approval",""
"broken","Tue Dec 21 18:38:19 GMT 2021","Tue Dec 21 18:38:20 GMT 2021","1180","Ethers.js","","","","","testQueryingBlockchain",""
"broken","Tue Dec 21 18:40:56 GMT 2021","Tue Dec 21 18:40:56 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"failed","Tue Dec 21 18:45:13 GMT 2021","Tue Dec 21 18:45:38 GMT 2021","24745","tests.truffle","test_truffle","","","","test_issue_364_self_destruct_contract",""
"passed","Tue Dec 21 18:38:18 GMT 2021","Tue Dec 21 18:38:19 GMT 2021","574","Ethers.js","","","","","shouldConnectViaEthersJs",""
