"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 21 23:05:40 GMT 2021","Tue Dec 21 23:05:45 GMT 2021","4271","Contract: SafeCast","toUint16","","","","downcasts 2^16 - 1 (65535)",""
"passed","Tue Dec 21 23:19:19 GMT 2021","Tue Dec 21 23:19:45 GMT 2021","26115","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the approved individual","","","adjusts owners balances",""
"passed","Tue Dec 21 23:15:05 GMT 2021","Tue Dec 21 23:15:25 GMT 2021","20002","Contract: ERC20","recover","","","","nothing to recover",""
"passed","Tue Dec 21 22:51:25 GMT 2021","Tue Dec 21 22:51:29 GMT 2021","4293","Contract: ECDSA","recover with valid signature","using web3.eth.sign","","","returns a different address",""
"passed","Tue Dec 21 23:38:03 GMT 2021","Tue Dec 21 23:38:31 GMT 2021","28150","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner without an approved user","","","adjusts owners balances",""
"passed","Tue Dec 21 23:16:17 GMT 2021","Tue Dec 21 23:16:34 GMT 2021","16742","Contract: ERC20","erc20 behaviour","balanceOf > when the requested account has no tokens","","","returns zero",""
"passed","Tue Dec 21 23:02:15 GMT 2021","Tue Dec 21 23:02:26 GMT 2021","11023","Contract: ERC721PresetMinterPauserAutoId","pausing","","","","cannot mint while paused",""
"passed","Tue Dec 21 23:07:29 GMT 2021","Tue Dec 21 23:07:50 GMT 2021","20789","Contract: SafeCast","toUint96","","","","downcasts 1",""
"passed","Tue Dec 21 23:22:54 GMT 2021","Tue Dec 21 23:23:00 GMT 2021","5549","Contract: Create2","deploy","","","","deploys a ERC1820Implementer from inline assembly code",""
"broken","Tue Dec 21 22:15:14 GMT 2021","Tue Dec 21 22:15:14 GMT 2021","5","ethjs","","","","","test01",""
"passed","Tue Dec 21 23:33:04 GMT 2021","Tue Dec 21 23:33:28 GMT 2021","23676","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the approved individual","","","adjusts owners tokens by index",""
"broken","Tue Dec 21 22:43:11 GMT 2021","Tue Dec 21 22:43:57 GMT 2021","46066","Contract: Context","msgSender","","","","returns the transaction sender when from another contract",""
"passed","Tue Dec 21 22:29:34 GMT 2021","Tue Dec 21 22:30:45 GMT 2021","70787","Contract: AccessControl","default admin","","","","default admin role's admin is itself",""
"passed","Tue Dec 21 22:56:37 GMT 2021","Tue Dec 21 22:57:22 GMT 2021","45521","Contract: RefundEscrow","","","","","requires a non-null beneficiary",""
"passed","Tue Dec 21 22:16:41 GMT 2021","Tue Dec 21 22:16:41 GMT 2021","2","migrate-imports.js","","","","","replaces import paths in a file",""
"passed","Tue Dec 21 22:55:25 GMT 2021","Tue Dec 21 22:55:31 GMT 2021","6612","Contract: ERC721PresetMinterPauserAutoId","Contract interface","ERC721 > setApprovalForAll(address,bool)","","","has to be implemented",""
"passed","Tue Dec 21 22:55:40 GMT 2021","Tue Dec 21 22:55:44 GMT 2021","4020","Contract: ERC721PresetMinterPauserAutoId","Contract interface","ERC721 > transferFrom(address,address,uint256)","","","has to be implemented",""
"passed","Tue Dec 21 23:15:53 GMT 2021","Tue Dec 21 23:16:15 GMT 2021","21800","Contract: ERC20","erc20 behaviour","total supply","","","returns the total amount of tokens",""
"failed","Wed Dec 22 00:16:48 GMT 2021","Wed Dec 22 00:16:48 GMT 2021","0","Contract: GovernorTimelockControl","not queued","","","","""after each"" hook for ""run""",""
"broken","Tue Dec 21 22:18:52 GMT 2021","Tue Dec 21 22:18:52 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_sender_balance_decreases",""
"passed","Wed Dec 22 00:44:49 GMT 2021","Wed Dec 22 00:45:01 GMT 2021","12136","Contract: Pausable","when unpaused","when paused > unpausing > when unpaused","","","emits an Unpaused event",""
"passed","Tue Dec 21 23:10:16 GMT 2021","Tue Dec 21 23:10:23 GMT 2021","7178","Contract: SafeCast","toUint224","","","","reverts when downcasting 2^224 + 1 (26959946667150639794667015087019630673637144422540572481103610249217)",""
"broken","Tue Dec 21 22:22:08 GMT 2021","Tue Dec 21 22:26:09 GMT 2021","240802","Contract: Address","sendValue","when sender contract has funds","","","sends 0 wei",""
"passed","Tue Dec 21 23:10:05 GMT 2021","Tue Dec 21 23:10:42 GMT 2021","36733","Contract: Governor","Contract interface","Governor > propose(address[],uint256[],bytes[],string)","","","has to be implemented",""
"failed","Wed Dec 22 00:20:20 GMT 2021","Wed Dec 22 00:20:20 GMT 2021","0","Contract: GovernorTimelockControl","cancel after queue prevents execution","","","","""after each"" hook for ""run""",""
"passed","Wed Dec 22 00:16:47 GMT 2021","Wed Dec 22 00:17:18 GMT 2021","31829","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the approved individual","","","adjusts owners tokens by index",""
"passed","Tue Dec 21 23:37:33 GMT 2021","Tue Dec 21 23:38:03 GMT 2021","29505","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner without an approved user","","","emits an Approval event",""
"passed","Tue Dec 21 23:11:08 GMT 2021","Tue Dec 21 23:11:22 GMT 2021","14256","Contract: ERC721Pausable","when token is paused","isApprovedForAll","","","returns the approval of the operator",""
"passed","Tue Dec 21 22:16:47 GMT 2021","Tue Dec 21 22:16:57 GMT 2021","9422","Contract: Address","isContract","","","","returns true for contract address",""
"skipped","Tue Dec 21 23:06:40 GMT 2021","Tue Dec 21 23:06:40 GMT 2021","0","Contract: ERC20Votes","set delegation","call","","","delegation without balance",""
"passed","Tue Dec 21 23:20:21 GMT 2021","Tue Dec 21 23:20:25 GMT 2021","4321","Contract: SafeMath","with custom revert message","div","","","reverts on division by zero",""
"passed","Wed Dec 22 00:33:01 GMT 2021","Wed Dec 22 00:33:21 GMT 2021","20433","Contract: ERC721","with minted tokens","approve > when clearing approval > when there was a prior approval","","","clears approval for the token",""
"passed","Tue Dec 21 22:56:09 GMT 2021","Tue Dec 21 22:56:31 GMT 2021","21737","Contract: ECDSA","recover with valid signature","with v1 signature","","","reverts with wrong version",""
"broken","Wed Dec 22 00:21:28 GMT 2021","Wed Dec 22 00:22:17 GMT 2021","48297","Contract: GovernorComp","voting with comp token","","","","run",""
"broken","Tue Dec 21 22:47:23 GMT 2021","Tue Dec 21 22:51:22 GMT 2021","239250","Contract: BitMap","unset","","","","removes consecutive added keys",""
"passed","Tue Dec 21 23:45:06 GMT 2021","Tue Dec 21 23:45:26 GMT 2021","19868","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner","","","adjusts owners tokens by index",""
"passed","Tue Dec 21 23:03:42 GMT 2021","Tue Dec 21 23:03:46 GMT 2021","4006","Contract: SignedSafeMath","div","","","","returns complete number result on non-even division",""
"skipped","Tue Dec 21 23:06:40 GMT 2021","Tue Dec 21 23:06:40 GMT 2021","0","Contract: ERC20Votes","getPastTotalSupply","","","","reverts if block number >= current block",""
"passed","Tue Dec 21 22:33:41 GMT 2021","Tue Dec 21 22:34:02 GMT 2021","20094","Contract: ERC20PresetMinterPauser","pausing","","","","other accounts cannot unpause",""
"passed","Tue Dec 21 23:13:07 GMT 2021","Tue Dec 21 23:13:14 GMT 2021","6858","Contract: EnumerableSet","EnumerableUintSet","at","","","reverts when retrieving non-existent elements",""
"skipped","Tue Dec 21 22:45:30 GMT 2021","Tue Dec 21 22:45:30 GMT 2021","1","Contract: TimelockController","maintenance","","","","prevent unauthorized maintenance",""
"passed","Tue Dec 21 23:43:12 GMT 2021","Tue Dec 21 23:43:44 GMT 2021","31487","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner","","","emits a Transfer event",""
"passed","Tue Dec 21 23:23:00 GMT 2021","Tue Dec 21 23:23:13 GMT 2021","13108","Contract: Create2","deploy","","","","deploys a ERC20Mock with correct balances",""
"passed","Tue Dec 21 22:57:58 GMT 2021","Tue Dec 21 22:58:03 GMT 2021","5596","Contract: ERC721PresetMinterPauserAutoId","Contract interface","AccessControl > grantRole(bytes32,address)","","","has to be implemented",""
"skipped","Tue Dec 21 23:06:40 GMT 2021","Tue Dec 21 23:06:40 GMT 2021","0","Contract: ERC20Votes","Compound test suite","numCheckpoints","","","does not add more than one checkpoint in a block",""
"broken","Wed Dec 22 00:11:12 GMT 2021","Wed Dec 22 00:11:37 GMT 2021","24996","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract","","","calls onERC721Received from approved",""
"passed","Wed Dec 22 00:33:36 GMT 2021","Wed Dec 22 00:33:50 GMT 2021","14176","Contract: ERC721","with minted tokens","approve > when approving a non-zero address > when there was no prior approval","","","sets the approval for the target address",""
"passed","Tue Dec 21 22:44:09 GMT 2021","Tue Dec 21 22:45:30 GMT 2021","80256","Contract: AccessControl","onlyRole modifier","","","","revert if sender doesn't have role #2",""
"passed","Tue Dec 21 23:02:10 GMT 2021","Tue Dec 21 23:02:22 GMT 2021","12212","Contract: SignedSafeMath","mul","","","","multiplies correctly",""
"passed","Tue Dec 21 23:16:38 GMT 2021","Tue Dec 21 23:16:45 GMT 2021","7094","Contract: Math","ceilDiv","","","","rounds up on division with remainders",""
"passed","Tue Dec 21 22:48:34 GMT 2021","Tue Dec 21 22:48:43 GMT 2021","8977","Contract: MulticallToken","","","","","reverts previous calls",""
"passed","Tue Dec 21 23:16:21 GMT 2021","Tue Dec 21 23:16:45 GMT 2021","24132","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the owner","","","emits an Approval event",""
"passed","Tue Dec 21 22:30:50 GMT 2021","Tue Dec 21 22:31:04 GMT 2021","14816","Contract: ERC1820Implementer","with registered interfaces","","","","returns false when interface implementation for non-supported addresses is queried",""
"broken","Tue Dec 21 22:18:51 GMT 2021","Tue Dec 21 22:18:51 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"passed","Tue Dec 21 23:19:44 GMT 2021","Tue Dec 21 23:19:51 GMT 2021","7541","Contract: SafeMath","with default revert message","mod > modulos correctly","","","when the dividend is larger than the divisor",""
"passed","Tue Dec 21 23:27:24 GMT 2021","Tue Dec 21 23:27:46 GMT 2021","22313","Contract: ERC721","with minted tokens","transfers > via transferFrom > when the address of the previous owner is incorrect","","","reverts",""
"passed","Tue Dec 21 23:08:34 GMT 2021","Tue Dec 21 23:08:48 GMT 2021","13749","Contract: ERC721Pausable","when token is paused","","","","reverts when trying to safeTransferFrom with data",""
"passed","Tue Dec 21 22:43:57 GMT 2021","Tue Dec 21 22:44:15 GMT 2021","17595","Contract: Context","msgData","","","","returns the transaction data when called from an EOA",""
