"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_revoked_approval",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self_no_approval",""
"passed","Wed Dec 22 17:11:03 GMT 2021","Wed Dec 22 17:11:26 GMT 2021","22923","tests.truffle","test_truffle","","","","test_truffle_migration",""
"skipped","Wed Dec 22 17:09:43 GMT 2021","Wed Dec 22 17:09:43 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"failed","Wed Dec 22 17:10:03 GMT 2021","Wed Dec 22 17:10:23 GMT 2021","19784","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"passed","Wed Dec 22 17:07:03 GMT 2021","Wed Dec 22 17:07:04 GMT 2021","1133","Ethers.js","","","","","shouldConnectViaEthersJs",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_approval_not_affected",""
"passed","Wed Dec 22 17:09:05 GMT 2021","Wed Dec 22 17:09:06 GMT 2021","210","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"passed","Wed Dec 22 17:07:11 GMT 2021","Wed Dec 22 17:07:11 GMT 2021","4","ethjs","","","","","Connection test (js)",""
"broken","Wed Dec 22 17:09:28 GMT 2021","Wed Dec 22 17:09:28 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_sender_balance_decreases",""
"broken","Wed Dec 22 17:09:36 GMT 2021","Wed Dec 22 17:09:36 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"broken","Wed Dec 22 17:09:37 GMT 2021","Wed Dec 22 17:09:37 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_insufficient_balance",""
"failed","Wed Dec 22 17:10:23 GMT 2021","Wed Dec 22 17:10:43 GMT 2021","19844","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"broken","Wed Dec 22 17:09:11 GMT 2021","Wed Dec 22 17:09:13 GMT 2021","2015","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_balance",""
"broken","Wed Dec 22 17:07:09 GMT 2021","Wed Dec 22 17:07:09 GMT 2021","482","Ethers.js","","","","","testQueryHistoricEvents",""
"failed","Wed Dec 22 17:11:26 GMT 2021","Wed Dec 22 17:12:34 GMT 2021","68707","tests.truffle","test_truffle","","","","test_truffle_contract",""
"passed","Wed Dec 22 17:07:04 GMT 2021","Wed Dec 22 17:07:04 GMT 2021","1","Ethers.js","","","","","testSigner",""
"failed","Wed Dec 22 17:13:39 GMT 2021","Wed Dec 22 17:14:01 GMT 2021","22117","tests.truffle","test_truffle","","","","test_issue_364_self_destruct_contract",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"broken","Wed Dec 22 17:09:15 GMT 2021","Wed Dec 22 17:09:18 GMT 2021","2484","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"passed","Wed Dec 22 17:09:05 GMT 2021","Wed Dec 22 17:09:05 GMT 2021","234","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
"broken","Wed Dec 22 17:09:37 GMT 2021","Wed Dec 22 17:09:37 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"broken","Wed Dec 22 17:09:37 GMT 2021","Wed Dec 22 17:09:37 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_to_self",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"broken","Wed Dec 22 17:09:18 GMT 2021","Wed Dec 22 17:09:23 GMT 2021","5343","tests.brownie.token.tests","test_approve","","","","test_returns_true",""
"skipped","Wed Dec 22 17:09:43 GMT 2021","Wed Dec 22 17:09:43 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"passed","Wed Dec 22 17:09:05 GMT 2021","Wed Dec 22 17:09:05 GMT 2021","235","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[2]",""
"broken","Wed Dec 22 17:07:11 GMT 2021","Wed Dec 22 17:07:11 GMT 2021","4","ethjs","","","","","test01",""
"broken","Wed Dec 22 17:07:08 GMT 2021","Wed Dec 22 17:07:09 GMT 2021","970","Ethers.js","","","","","testReadOnlyMethods",""
"broken","Wed Dec 22 17:07:06 GMT 2021","Wed Dec 22 17:07:08 GMT 2021","1529","Ethers.js","","","","","testWritingToTheBlockchain",""
"failed","Wed Dec 22 17:12:35 GMT 2021","Wed Dec 22 17:13:39 GMT 2021","64517","tests.truffle","test_truffle","","","","test_truffle_test",""
"passed","Wed Dec 22 17:09:06 GMT 2021","Wed Dec 22 17:09:08 GMT 2021","2117","tests.brownie.token.tests","test_approve","","","","test_approve",""
"broken","Wed Dec 22 17:09:37 GMT 2021","Wed Dec 22 17:09:37 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Wed Dec 22 17:09:13 GMT 2021","Wed Dec 22 17:09:15 GMT 2021","1983","tests.brownie.token.tests","test_approve","","","","test_approve_self",""
"broken","Wed Dec 22 17:09:36 GMT 2021","Wed Dec 22 17:09:36 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_approval_affected",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_total_supply_not_affected",""
"broken","Wed Dec 22 17:09:36 GMT 2021","Wed Dec 22 17:09:36 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_returns_true",""
"broken","Wed Dec 22 17:07:04 GMT 2021","Wed Dec 22 17:07:06 GMT 2021","2070","Ethers.js","","","","","testQueryingBlockchain",""
"broken","Wed Dec 22 17:07:09 GMT 2021","Wed Dec 22 17:07:10 GMT 2021","485","Ethers.js","","","","","testSigningMessages",""
"broken","Wed Dec 22 17:09:41 GMT 2021","Wed Dec 22 17:09:41 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_balance_not_affected",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens_without_approval",""
"passed","Wed Dec 22 17:09:05 GMT 2021","Wed Dec 22 17:09:05 GMT 2021","216","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"passed","Wed Dec 22 17:09:05 GMT 2021","Wed Dec 22 17:09:05 GMT 2021","222","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[0]",""
"broken","Wed Dec 22 17:09:41 GMT 2021","Wed Dec 22 17:09:41 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_balance_increases",""
"passed","Wed Dec 22 17:08:34 GMT 2021","Wed Dec 22 17:08:36 GMT 2021","1775","tests.brownie","test_brownie","","","","test_brownie_connect",""
"broken","Wed Dec 22 17:09:37 GMT 2021","Wed Dec 22 17:09:37 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_sender_balance_decreases",""
"passed","Wed Dec 22 17:07:09 GMT 2021","Wed Dec 22 17:07:09 GMT 2021","5","Ethers.js","","","","","testStateChangingMethods",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"passed","Wed Dec 22 17:08:51 GMT 2021","Wed Dec 22 17:08:58 GMT 2021","6830","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"passed","Wed Dec 22 17:09:23 GMT 2021","Wed Dec 22 17:09:28 GMT 2021","4961","tests.brownie.token.tests","test_approve","","","","test_approval_event_fires",""
"broken","Wed Dec 22 17:07:01 GMT 2021","Wed Dec 22 17:07:01 GMT 2021","792","Ethers.js","","","","","shouldCreateAcccountWithEthersJs",""
"broken","Wed Dec 22 17:09:37 GMT 2021","Wed Dec 22 17:09:37 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"passed","Wed Dec 22 17:07:10 GMT 2021","Wed Dec 22 17:07:11 GMT 2021","1055","Ethers.js","","","","","shouldCheckStaticJsonRpcProvider",""
"broken","Wed Dec 22 17:09:43 GMT 2021","Wed Dec 22 17:09:43 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_event_fires",""
"broken","Wed Dec 22 17:07:17 GMT 2021","Wed Dec 22 17:07:18 GMT 2021","1036","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"failed","Wed Dec 22 17:09:43 GMT 2021","Wed Dec 22 17:10:03 GMT 2021","20600","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"broken","Wed Dec 22 17:09:42 GMT 2021","Wed Dec 22 17:09:42 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"passed","Wed Dec 22 17:07:01 GMT 2021","Wed Dec 22 17:07:03 GMT 2021","1718","Ethers.js","","","","","shouldCountTransactions",""
"passed","Wed Dec 22 17:07:08 GMT 2021","Wed Dec 22 17:07:08 GMT 2021","6","Ethers.js","","","","","testContracts",""
"failed","Wed Dec 22 17:10:43 GMT 2021","Wed Dec 22 17:11:03 GMT 2021","19869","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"broken","Wed Dec 22 17:09:08 GMT 2021","Wed Dec 22 17:09:11 GMT 2021","3155","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
