"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Dec 24 03:04:05 GMT 2021","Fri Dec 24 03:06:15 GMT 2021","130069","Contract: MinimalForwarder","with message","verify > valid signature","","","success",""
"skipped","Fri Dec 24 03:22:22 GMT 2021","Fri Dec 24 03:22:22 GMT 2021","0","Contract: ERC20VotesComp","Compound test suite","getPriorVotes","","","reverts if block number >= current block",""
"passed","Fri Dec 24 03:34:48 GMT 2021","Fri Dec 24 03:34:53 GMT 2021","5747","Contract: ERC721PresetMinterPauserAutoId","Contract interface","ERC721 > approve(address,uint256)","","","has to be implemented",""
"broken","Fri Dec 24 03:46:38 GMT 2021","Fri Dec 24 03:49:08 GMT 2021","150023","Contract: ERC1820Implementer","with no registered interfaces","","","","reverts when attempting to set as implementer in the registry",""
"broken","Fri Dec 24 03:42:27 GMT 2021","Fri Dec 24 03:42:34 GMT 2021","7047","Contract: Strings","from uint256 - fixed hex format","","","","converts a positive number (long)",""
"skipped","Fri Dec 24 03:22:22 GMT 2021","Fri Dec 24 03:22:22 GMT 2021","0","Contract: ERC20VotesComp","Compound test suite","getPriorVotes","","","generally returns the voting balance at the appropriate checkpoint",""
"passed","Fri Dec 24 03:59:35 GMT 2021","Fri Dec 24 03:59:43 GMT 2021","8196","Contract: SafeCast","toInt64","","","","downcasts 0",""
"passed","Fri Dec 24 03:38:04 GMT 2021","Fri Dec 24 03:38:36 GMT 2021","32003","Contract: Address","functionCall","with valid contract receiver","","","calls the requested function",""
"passed","Fri Dec 24 03:58:04 GMT 2021","Fri Dec 24 03:58:13 GMT 2021","9425","Contract: SafeCast","toInt16","","","","reverts when downcasting -2^15 - 2 (-32770)",""
"passed","Fri Dec 24 03:49:13 GMT 2021","Fri Dec 24 03:49:25 GMT 2021","11368","Contract: SafeCast","toUint16","","","","reverts when downcasting 2^16 (65536)",""
"passed","Fri Dec 24 03:53:51 GMT 2021","Fri Dec 24 03:54:02 GMT 2021","10668","Contract: ERC165Checker","ERC165 and many interfaces supported","","","","supports not all of the interfaces queried via supportsAllInterfaces",""
"passed","Fri Dec 24 03:51:39 GMT 2021","Fri Dec 24 03:52:05 GMT 2021","25732","Contract: SafeCast","toUint64","","","","reverts when downcasting 2^64 (18446744073709551616)",""
"passed","Fri Dec 24 03:32:52 GMT 2021","Fri Dec 24 03:33:55 GMT 2021","62423","Contract: ERC721URIStorage","token URI","","","","reverts when queried for non existent token id",""
"passed","Fri Dec 24 03:46:36 GMT 2021","Fri Dec 24 03:46:47 GMT 2021","10214","Contract: ERC165Storage","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Fri Dec 24 03:05:10 GMT 2021","Fri Dec 24 03:05:10 GMT 2021","221","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"passed","Fri Dec 24 03:37:02 GMT 2021","Fri Dec 24 03:37:18 GMT 2021","16121","Contract: ERC721PresetMinterPauserAutoId","Contract interface","ERC721 > isApprovedForAll(address,address)","","","has to be implemented",""
"skipped","Fri Dec 24 03:22:22 GMT 2021","Fri Dec 24 03:22:22 GMT 2021","0","Contract: ERC20Votes","Compound test suite","numCheckpoints","","","does not add more than one checkpoint in a block",""
"passed","Fri Dec 24 04:01:00 GMT 2021","Fri Dec 24 04:01:06 GMT 2021","5801","Contract: SafeCast","toInt128","","","","downcasts 1",""
"passed","Fri Dec 24 03:44:51 GMT 2021","Fri Dec 24 03:45:03 GMT 2021","12183","Contract: Escrow","as an escrow","deposits","","","can accept an empty deposit",""
"passed","Fri Dec 24 03:23:57 GMT 2021","Fri Dec 24 03:23:57 GMT 2021","0","Contract: ERC20Pausable","pausable token","transfer","","","allows to transfer when paused and then unpaused",""
"passed","Fri Dec 24 03:38:30 GMT 2021","Fri Dec 24 03:39:20 GMT 2021","50258","Contract: Counters","increment","starting from 0","","","can be called multiple times",""
"passed","Fri Dec 24 03:01:52 GMT 2021","Fri Dec 24 03:01:53 GMT 2021","998","Ethers.js","","","","","shouldConnectViaEthersJs",""
"passed","Fri Dec 24 03:54:13 GMT 2021","Fri Dec 24 03:54:43 GMT 2021","30159","Contract: EnumerableSet","EnumerableAddressSet","add","","","adds a value",""
"passed","Fri Dec 24 03:32:18 GMT 2021","Fri Dec 24 03:33:03 GMT 2021","45414","Contract: ERC20Pausable","pausable token","mint","","","reverts when trying to mint when paused",""
"passed","Fri Dec 24 03:44:53 GMT 2021","Fri Dec 24 03:45:02 GMT 2021","8887","Contract: ERC165","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"broken","Fri Dec 24 03:05:16 GMT 2021","Fri Dec 24 03:05:28 GMT 2021","12768","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"passed","Fri Dec 24 03:47:45 GMT 2021","Fri Dec 24 03:47:52 GMT 2021","7158","Contract: Math","max","","","","is correctly detected in second argument position",""
